,ND##length##inches,FOD##length##inches,CLgt##length##inches
0.5,0.5,0.706,1.75
0.75,0.75,0.922,2.25
1,1,1.163,2.25
1.25,1.25,1.51,3
1.5,1.5,1.74,3.5
2,2,2.197,4
2.5,2.5,2.875,4.75
3,3,3.5,6
3.5,3.5,4,5.5
4,4,4.5,5.75
