,ND##length##inches,FOD##length##inches,Lgt##length##inches
0.5,0.5,1.08,1.437
0.75,0.75,1.3,1.703
1,1,1.59,2.031
1.25,1.25,2,2.156
1.5,1.5,2.23,2.281
2,2,2.72,2.406
2.5,2.5,3.32,3.187
3,3,4,3.437
3.5,3.5,4.5,3.625
4,4,5,3.75
5,5,6.12,4.187
6,6,7.37,4.562
