,ND##length##millimeters,EOD##length##inches,CtE##length##inches
0.5,16,15/16,1  9/29
0.75,21,1  5/32,1 3/5
1,27,1 27/64,1.94
1.25,35,1 13/16,2 13/50
1.5,41,2  3/64,2 23/40
2,53,2 17/32,3 13/61
2.5,63,3 19/64,3 40/47
3,78,4  1/16,4 22/45
3.5,91,4 17/32,5  8/63
4,103,5  1/16,5 13/17
