,ND##length##millimeters,FOD##length##inches,CLgt##length##inches,CBW##length##inches,TLgt##length##inches
0.5,16,1.08,0.639,1.268,4.337
0.75,21,1.3,0.81,1.536,5.395
1,27,1.59,0.91,1.7,6.25
1.25,35,2,1.05,2.3,7.625
1.5,41,2.23,1.125,2.675,8.25
2,53,2.72,1.16,3.188,10.531
2.5,63,3.32,1.75,4.5,13.63
3,78,4,1.9,4.5,13.63
3.5,91,4.5,2.125,5.536,16
4,103,5,2.125,5.536,16
