,ND##length##millimeters,FOD##length##inches,CLgt##length##inches,BRad##length##inches
0.5,16,0.84,1.5,4
0.75,21,1.05,1.5,4.5
1,27,1.315,1.875,5.75
1.25,35,1.66,2,7.25
1.5,41,1.9,2,8.25
2,53,2.375,2,9.5
2.5,63,2.875,3,10.5
3,78,3.5,3.125,13
3.5,91,4,3.25,15
4,103,4.5,3.375,16
5,129,5.565,3.622,24
6,155,6.625,3.74,30
