,ND##length##millimeters,FOD##length##inches,CLgt##length##inches
0.5,16,0.84,1.5
0.75,21,1.05,1.5
1,27,1.315,1.875
1.25,35,1.66,2
1.5,41,1.9,2
2,53,2.375,2
2.5,63,2.875,3
3,78,3.5,3.125
3.5,91,4,3.25
4,103,4.5,3.375
5,129,5.565,3.622
6,155,6.625,3.74
