,ND##length##inches,FOD##length##inches,CLgt##length##inches,BRad##length##inches
0.5,0.5,0.84,1.5,4
0.75,0.75,1.05,1.5,4.5
1,1,1.315,1.875,5.75
1.25,1.25,1.66,2,7.25
1.5,1.5,1.9,2,8.25
2,2,2.375,2,9.5
2.5,2.5,2.875,3,10.5
3,3,3.5,3.125,13
3.5,3.5,4,3.25,15
4,4,4.5,3.375,16
5,5,5.565,3.622,24
6,6,6.625,3.74,30
