,ND##length##millimeters,FOD##length##inches,Lgt##length##inches
0.5,16,1.08,0.719
0.75,21,1.3,0.852
1,27,1.59,1.016
1.25,35,2,1.078
1.5,41,2.23,1.141
2,53,2.72,1.203
2.5,63,3.32,1.594
3,78,4,1.719
3.5,91,4.5,1.813
4,103,5,1.875
5,129,6.12,2.094
6,155,7.37,2.281
