,ND##length##millimeters,FOD##length##inches,Lgt##length##inches
0.5,16,1.08,1.56
0.75,21,1.33,1.62
1,27,1.56,2
1.25,35,1.95,2.06
1.5,41,2.22,2.06
2,53,2.75,2.12
2.5,63,3.28,3.12
3,78,3.94,3.25
3.5,91,4.44,3.37
4,103,5,3.5
5,129,6.3,3.75
6,155,7.39,4
