,ND##length##inches,FOD##length##inches,CLgt##length##inches
0.5,0.5,0.84,2.5
0.75,0.75,1.05,2.75
1,1,1.315,2.875
1.25,1.25,1.66,3
1.5,1.5,1.9,3.625
2,2,2.375,4.5
2.5,2.5,2.875,5.25
3,3,3.5,5.75
3.5,3.5,4,6.75
4,4,4.5,7
5,5,5.563,11
6,6,6.625,12.5
