,ND##length##millimeters,FOD##length##inches,TLgt1##length##inches,TLgt2##length##inches,CLgt##length##inches,CtE1##length##inches
0.5,16,1.08,5.395,2.487,0.639,4.095
0.75,21,1.3,5.395,2.487,0.81,4.095
1,27,1.59,6.25,2.75,0.91,4.75
1.25,35,2,7.625,3.575,1.05,5.75
1.5,41,2.23,8.25,3.938,1.125,6.5
2,53,2.72,10.531,4.535,1.16,8.156
2.5,63,3.32,13.63,6.24,1.75,9.825
3,78,4,13.63,6.24,1.9,10.897
3.5,91,4.5,16,7.5,2.125,11.465
4,103,5,16,7.5,2.125,11.465
