,ND##length##inches,FOD##length##inches,CLgt##length##inches
0.5,0.5,1.08,0.719
0.75,0.75,1.3,0.852
1,1,1.59,1.016
1.25,1.25,2,1.078
1.5,1.5,2.23,1.141
2,2,2.72,1.203
2.5,2.5,3.32,1.594
3,3,4,1.719
3.5,3.5,4.5,1.813
4,4,5,1.875
5,5,6.12,2.094
6,6,7.37,2.281
