,ND##length##millimeters,FOD##length##inches,CLgt##length##inches
0.5,16,0.84,2.5
0.75,21,1.05,2.75
1,27,1.315,2.875
1.25,35,1.66,3
1.5,41,1.9,3.625
2,53,2.375,4.5
2.5,63,2.875,5.25
3,78,3.5,5.75
3.5,91,4,6.75
4,103,4.5,7
5,129,5.563,11
6,155,6.625,12.5
