,ND##length##millimeters,FOD##length##inches,Lgt##length##inches,EOD##length##inches
0.5,16,0.84,1.437,1.08
0.75,21,1.05,1.703,1.3
1,27,1.315,2.031,1.59
1.25,35,1.66,2.156,2
1.5,41,1.9,2.281,2.23
2,53,2.375,2.406,2.72
2.5,63,2.875,3.187,3.32
3,78,3.5,3.437,4
3.5,91,4,3.625,4.5
4,103,4.5,3.75,5
5,129,5.565,4.187,6.12
6,155,6.625,4.562,7.37
