,ND##length##inches,FOD##length##inches,Lgt##length##inches
0.5,0.5,1.08,1.56
0.75,0.75,1.33,1.62
1,1,1.56,2
1.25,1.25,1.95,2.06
1.5,1.5,2.22,2.06
2,2,2.75,2.12
2.5,2.5,3.28,3.12
3,3,3.94,3.25
3.5,3.5,4.44,3.37
4,4,5,3.5
5,5,6.3,3.75
6,6,7.39,4
