,ND##length##inches,FOD##length##inches,Lgt##length##inches
0.5,0.5,1.08,1.078
0.75,0.75,1.3,1.277
1,1,1.59,1.523
1.25,1.25,2,1.617
1.5,1.5,2.23,1.711
2,2,2.72,1.805
2.5,2.5,3.32,2.39
3,3,4,2.578
3.5,3.5,4.5,2.719
4,4,5,2.813
5,5,6.12,3.14
6,6,7.37,3.422
