,ND##length##inches,FOD##length##inches,CLgt##length##inches,CBW##length##inches,TLgt##length##inches
0.5,0.5,1.08,0.639,1.268,5.606
0.75,0.75,1.3,0.81,1.536,5.606
1,1,1.59,0.91,1.7,6.5
1.25,1.25,2,1.05,2.3,7.9
1.5,1.5,2.23,1.125,2.675,8.5
2,2,2.72,1.16,3.188,10.875
2.5,2.5,3.32,1.75,4.5,14.6
3,3,4,1.9,4.5,14.6
3.5,3.5,4.5,2.125,5.536,17.04
4,4,5,2.125,5.536,17.04
