,ND##length##millimeters,FOD##length##inches,Lgt##length##inches,NFS##length##inches
0.5,16, 23/32,2  5/16,1
0.75,21, 15/16,2 13/16,1  5/32
1,27,1  5/32,3  1/8 ,1 15/32
1.25,35,1  1/2 ,3  7/8 ,1 27/32
1.5,41,1  3/4 ,4  9/16,2  1/16
2,53,2  3/16,5  1/32,2 17/32
2.5,63,2  7/8 ,6 3/8,3 1/4
3,78,3  1/2 ,6 25/32,3 15/16
3.5,91,4,6 31/32,4  7/16
4,103,4  1/2 ,7 15/32,4 15/16
