,ND##length##inches,FOD##length##inches,CLgt##length##inches,CtE##length##inches,CBW##length##inches
0.5,0.5,1.08,0.639,2.28,1.268
0.75,0.75,1.3,0.81,2.803,1.536
1,1,1.59,0.91,3.25,1.7
1.25,1.25,2,1.05,3.95,2.3
1.5,1.5,2.23,1.125,4.25,2.675
2,2,2.72,1.16,5.438,3.188
2.5,2.5,3.32,1.75,7.3,4.5
3,3,4,1.9,7.3,4.5
3.5,3.5,4.5,2.125,8.535,5.536
4,4,5,2.125,8.535,5.536
