,ND##length##millimeters,EOD##length##inches,CtE##length##inches
0.5,16,15/16,1.37
0.75,21,1  5/32,1.86
1,27,1 27/64,2.35
1.25,35,1 13/16,2.84
1.5,41,2  3/64,3.33
2,53,2 17/32,4.31
2.5,63,3 19/64,5.29
3,78,4  1/16,6.27
3.5,91,4 17/32,7.25
4,103,5  1/16,8.23
