,ND##length##millimeters,EOD##length##inches,Lgt##length##inches,FOD##length##inches
0.5,16, 15/16,1  5/32, 23/32
0.75,21,1  5/32,1 13/32, 15/16
1,27,1 27/64,1  9/16,1  5/32
1.25,35,1 13/16,1 15/16,1  1/2 
1.5,41,2  3/64,2  9/32,1  3/4 
2,53,2 17/32,2 33/64,2  3/16
2.5,63,3 19/64,3  3/16,2  7/8 
3,78,4  1/16,3 25/64,3  1/2 
3.5,91,4 17/32,3 31/64,4      
4,103,5  1/16,3 47/64,4  1/2 
