,ND##length##millimeters,FOD##length##inches,Lgt##length##inches
0.5,16,1.08,1.078
0.75,21,1.3,1.277
1,27,1.59,1.523
1.25,35,2,1.617
1.5,41,2.23,1.711
2,53,2.72,1.805
2.5,63,3.32,2.39
3,78,4,2.578
3.5,91,4.5,2.719
4,103,5,2.813
5,129,6.12,3.14
6,155,7.37,3.422
