,ND##length##millimeters,FOD##length##inches,Lgt##length##inches
0.5,16,1.01,1.625
0.75,21,1.25,1.641
1,27,1.525,1.969
1.25,35,1.869,2.031
1.5,41,2.155,2.063
2,53,2.65,2.125
2.5,63,3.25,3.188
3,78,3.87,3.313
3.5,91,4.5,3.406
4,103,4.875,3.516
