,ND##length##inches,FOD##length##inches,BRad##length##inches,CLgt##length##inches
0.5,0.5,0.706,4.625,1.75
0.75,0.75,0.922,5.1875,2.25
1,1,1.163,7.25,2.25
1.25,1.25,1.51,8.375,3
1.5,1.5,1.74,9.3125,3.5
2,2,2.197,11.5,4
2.5,2.5,2.875,14.5,4.75
3,3,3.5,15.5,6
3.5,3.5,4,19,5.5
4,4,4.5,19.75,5.75
