,ND##length##inches,FOD##length##inches,Lgt##length##inches,NFS##length##inches
0.5,0.5, 23/32,1 1/2,1  3/32
0.75,0.75, 15/16,1  5/8 ,1  5/16
1,1,1  5/32,1  7/8 ,1 45/64
1.25,1.25,1  1/2 ,1 13/16,2  3/32
1.5,1.5,1  3/4 ,2  9/32,2 21/64
2,2,2  3/16,2 11/32,2 29/64
2.5,2.5,2  7/8 ,3 13/64,3 11/64
3,3,3  1/2 ,3  7/32,4  1/2 
3.5,3.5,4,3  9/64,5  1/16
4,4,4  1/2 ,3  3/16,5 41/64
