,ND##length##inches,EOD##length##inches,CtE##length##inches
0.5,0.5,15/16,1.37
0.75,0.75,1  5/32,1.86
1,1,1 27/64,2.35
1.25,1.25,1 13/16,2.84
1.5,1.5,2  3/64,3.33
2,2,2 17/32,4.31
2.5,2.5,3 19/64,5.29
3,3,4  1/16,6.27
3.5,3.5,4 17/32,7.25
4,4,5  1/16,8.23
