,ND##length##inches,EOD##length##inches,CtE##length##inches
0.5,0.5,15/16,1  9/29
0.75,0.75,1  5/32,1 3/5
1,1,1 27/64,1.94
1.25,1.25,1 13/16,2 13/50
1.5,1.5,2  3/64,2 23/40
2,2,2 17/32,3 13/61
2.5,2.5,3 19/64,3 40/47
3,3,4  1/16,4 22/45
3.5,3.5,4 17/32,5  8/63
4,4,5  1/16,5 13/17
