,ND##length##inches,FOD##length##inches,Lgt##length##inches
0.5,0.5,1.01,1.625
0.75,0.75,1.25,1.641
1,1,1.525,1.969
1.25,1.25,1.869,2.031
1.5,1.5,2.155,2.063
2,2,2.65,2.125
2.5,2.5,3.25,3.188
3,3,3.87,3.313
3.5,3.5,4.5,3.406
4,4,4.875,3.516
