,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,RFT##length##millimeters
10,10,90,14,41,2
15,15,95,14,46,2
20,20,105,16,56,2
25,25,115,16,65,2
32,32,140,18,76,2
40,40,150,18,84,2
50,50,165,20,99,2
65,65,185,22,118,2
80,80,200,24,132,2
100,100,235,24,156,2
125,125,270,26,184,2
150,150,300,28,211,2
200,200,360,30,274,2
250,250,425,32,330,2
300,300,485,34,389,2
350,350,555,38,448,2
400,400,620,40,503,2
450,450,670,46,548,2
500,500,730,48,609,2
600,600,845,58,720,2
700,700,960,50,820,5
800,800,1085,54,928,5
900,900,1185,58,1028,5
1000,1000,1320,62,1140,5
1200,1200,1530,70,1350,5
1400,1400,1755,76,1560,5
1600,1600,1975,84,1780,5
1800,1800,2195,90,1985,5
2000,2000,2425,96,2210,5
