,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,RFT##length##millimeters
40,40,150,19,84,3
50,50,165,19,99,3
65,65,185,19,118,3
80,80,200,19,132,3
100,100,220,19,156,3
125,125,250,19,184,3
150,150,285,19,211,3
200,200,340,20,266,3
250,250,405,22,319,3
300,300,460,24.5,370,4
350,350,520,26.5,429,4
400,400,580,28,480,4
450,450,640,30,548,4
500,500,715,31.5,609,4
600,600,840,36,720,5
700,700,910,39.5,794,5
800,800,1025,43,901,5
900,900,1125,46.5,1001,5
1000,1000,1255,50,1112,5
1200,1200,1485,57,1328,5
1400,1400,1685,60,1530,5
1600,1600,1930,65,1750,5
1800,1800,2130,70,1950,5
2000,2000,2345,75,2150,5
