,ND##length##inches,FOD##length##millimeters,FThk##length##millimeters,RFD##length##millimeters
0.5,0.5,95,12.7,34.9
0.75,0.75,115,14.3,42.9
1,1,125,15.9,50.8
1.25,1.25,135,17.5,63.5
1.5,1.5,155,19.1,73
2,2,165,20.7,92.1
2.5,2.5,190,23.9,104.8
3,3,210,27,127
3.5,3.5,230,28.6,139.7
4,4,255,30.2,157.2
5,5,280,33.4,185.7
6,6,320,35,215.9
8,8,380,39.7,269.9
10,10,445,46.1,323.8
12,12,520,49.3,381
14,14,585,52.4,412.8
16,16,650,55.6,469.9
18,18,710,58.8,533.4
20,20,775,62,584.2
24,24,915,68.3,692.2
