,ND1##length##millimeters,ND2##length##millimeters,ND3##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters,CtE1##length##millimeters,CtE2##length##millimeters,CtE3##length##millimeters
0.5x0.5x0.375,15,15,10,12.7,21.3,4.1,34,30.2,30.2,30.2
0.5x0.375x0.5,15,10,15,12.7,21.3,4.1,34,31.8,30.2,31.8
0.75x0.75x0.5,20,20,15,14.2,26.7,4.6,41.4,33.3,33.3,35.1
0.75x0.5x0.75,20,15,20,14.2,26.7,4.6,41.4,36.6,35.1,36.6
1x1x0.75,25,25,20,15.8,33.4,5.1,49.5,38.1,38.1,39.6
1x1x0.5,25,25,15,15.8,33.4,5.1,49.5,36.6,36.6,38.1
1x1x0.375,25,25,10,15.8,33.4,5.1,49.5,33.3,33.3,36.6
1x0.75x1,25,20,25,15.8,33.4,5.1,49.5,41.4,39.6,41.4
1.25x1.25x1,32,32,25,17.5,42.2,5.6,60.7,44.5,44.5,46
1.25x1.25x0.75,32,32,20,17.5,42.2,5.6,60.7,41.4,41.4,44.5
1.25x1.25x0.5,32,32,15,17.5,42.2,5.6,60.7,38.1,38.1,42.9
1.25x1x1.25,32,25,32,17.5,42.2,5.6,60.7,49.3,46,49.3
1.5x1.5x1.25,40,40,32,19.1,48.3,6.1,68.1,50.8,50.8,52.3
1.5x1.5x1,40,40,25,19.1,48.3,6.1,68.1,46,46,50.8
1.5x1.5x0.75,40,40,20,19.1,48.3,6.1,68.1,42.9,42.9,47.6
1.5x1.5x0.5,40,40,15,19.1,48.3,6.1,68.1,41.4,41.4,46
1.5x1.25x1.5,40,32,40,19.1,48.3,6.1,68.1,54.1,52.3,54.1
2x2x1.5,50,50,40,21.3,60.3,6.6,83.3,57.2,57.2,60.5
2x2x1.25,50,50,32,21.3,60.3,6.6,83.3,54.1,54.1,58.7
2x2x1,50,50,25,21.3,60.3,6.6,83.3,50.8,50.8,57.2
2x2x0.75,50,50,20,21.3,60.3,6.6,83.3,46,46,54.1
2x2x0.5,50,50,15,21.3,60.3,6.6,83.3,44.5,44.5,52.3
2x1.5x2,50,40,50,21.3,60.3,6.6,83.3,63.5,60.5,63.5
2.5x2.5x2,65,65,50,23.9,73,7.9,98,68.3,68.3,70
2.5x2.5x1.5,65,65,40,23.9,73,7.9,98,62,62,66.8
2.5x2x2.5,65,50,65,23.9,73,7.9,98,74.7,70,74.7
3x3x2.5,80,80,65,25.4,88.9,8.9,117.3,77.7,77.7,84.1
3x3x2,80,80,50,25.4,88.9,8.9,117.3,71.4,71.4,79.5
3x2.5x3,80,65,80,25.4,88.9,8.9,117.3,85.9,84.1,85.9
