,ND1##length##millimeters,ND2##length##millimeters,FOD##length##inches,POD1##length##inches,POD2##length##inches,FWid##length##inches,TWid##length##inches,SWid##length##inches
3.00 x 4.00,80,100,7,3.5,4.5,0.44,1,1.875
4.00 x4.00,100,100,7,4.5,4.5,0.44,1.5,2.25
