,ND##length##millimeters,FOD##length##millimeters,FThk##length##millimeters,FHgt##length##millimeters,FND##length##millimeters,RFD##length##millimeters
10,10,75,12,20,25,33
15,15,80,12,20,30,38
20,20,90,14,24,40,48
25,25,100,14,24,50,58
32,32,120,16,26,60,69
40,40,130,16,26,70,78
50,50,140,16,28,80,88
65,65,160,16,32,100,108
80,80,190,18,34,110,124
100,100,210,18,40,130,144
125,125,240,18,44,160,174
150,150,265,20,44,185,199
200,200,320,22,44,240,254
250,250,375,24,44,295,309
300,300,440,24,44,355,363
