,ND##length##millimeters,NOD##length##millimeters,SWid##length##millimeters,Hgt##length##millimeters,SOD##length##millimeters,ADia##length##millimeters
40,40,50,25,44,56,40
65,65,75,40,60,82,58
100,100,110,50,69,118,85
150,150,160,58,82,169,120
