,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters
40,40,150,19
50,50,165,19
65,65,185,19
80,80,200,19
100,100,235,19
125,125,270,19
150,150,300,20
200,200,360,22
250,250,425,24.5
300,300,485,27.5
350,350,555,30
400,400,620,32
450,450,670,34.5
500,500,730,36.5
600,600,845,42
700,700,960,46.5
800,800,1085,51
900,900,1185,55.5
1000,1000,1320,60
1200,1200,1530,69
1400,1400,1750,74
1600,1600,1975,81
1800,1800,2195,88
2000,2000,2425,95
