,ND##length##millimeters,POD##length##inches,CRad##length##inches,SOD##length##inches,SWid##length##inches
1.25,32,1.66,3.125,2.052,1.25
1.5,40,1.9,3.5,2.312,1.375
2,50,2.375,4.625,2.823,1.5
3,80,3.5,6.125,4.116,1.875
4,100,4.5,7.75,5.192,2.25
6,150,6.625,10,7.511,3
8,200,8.625,12,9.655,4
