,ND##length##inches,TLgt##length##millimeters,CtC##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters
0.5,0.5,10.9,25.4,6.3,21.3,2.95,30.4
0.75,0.75,12.7,31.6,6.9,26.7,3.38,37
1,1,14.7,38.1,7.7,33.3,3.81,45
1.25,1.25,17,44.5,8.7,42.2,4.19,54.7
1.5,1.5,17.8,55.6,9.3,48.3,4.52,61.6
2,2,19.1,66.8,10.7,60.3,5.11,75.3
2.5,2.5,23.4,84.6,12.1,73,6.2,91.2
3,3,24.9,102.3,13.9,88.9,6.91,108.8
4,4,27.4,125.9,16.8,114.4,7.87,137.2
