,ND##length##millimeters,FOD##length##millimeters,FThk##length##millimeters,RFD##length##millimeters
0.5,15,120,22.3,34.9
0.75,20,130,25.4,42.9
1,25,150,28.6,50.8
1.25,32,160,28.6,63.5
1.5,40,180,31.8,73
2,50,215,38.1,92.1
2.5,65,245,41.3,104.8
3,80,240,38.1,127
4,100,290,44.5,157.2
5,125,350,50.8,185.7
6,150,380,55.6,215.9
8,200,470,63.5,269.9
10,250,545,69.9,323.8
12,300,610,79.4,381
14,350,640,85.8,412.8
16,400,705,88.9,469.9
18,450,785,101.6,533.4
20,500,855,108,584.2
24,600,1040,139.7,692.2
