,ND##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters,Hgt##length##millimeters
0.25,8,9.7,13.7,4.6,23.6,19.8
0.375,10,11.2,17.1,4.8,25.8,21.1
0.5,15,12.7,21.3,5.1,34,24.9
0.75,20,14.2,26.7,5.8,41.4,27.4
1,25,15.8,33.4,6.4,48.5,32
1.25,32,17.5,42.2,7.1,60.7,35.1
1.5,40,19.1,48.3,7.6,68.1,36.3
2,50,21.3,60.3,8.4,83.3,42.7
2.5,65,23.9,73,9.9,98,52.3
3,80,25.4,88.9,11.2,117.3,55.1
