,ND##length##millimeters,FOD##length##inches,Hgt##length##inches,SLgt##length##inches
0.5,15,0.84,0.938,0.75
0.75,20,1.05,1.25,1
1,25,1.315,1.375,1.125
1.25,32,1.66,1.5,1.25
1.5,40,1.9,1.625,1.313
2,50,2.375,1.75,1.375
