,ND##length##millimeters,NOD##length##millimeters,WThk##length##millimeters,SWid##length##millimeters,Lgt##length##millimeters,Hgt##length##millimeters
40,40,50,2,25,132,110
65,65,75,2.3,40,190,160
100,100,110,3.2,50,264,215
