,ND1##length##inches,ND2##length##inches,ND3##length##inches,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches,SBtSBR##length##inches,CtSBR##length##inches,CtSBB##length##inches
1.5,1.5,-1,-1,1.915,0.687,0.156,1.9,-1.000,-1.000,-1.000
2x2x1.5x1.5,2,2,1.5,2.39,0.75,0.156,2.375,4.375,1.063,3.438
3x3x1.5x1.5,3,3,1.5,3.52,1.5,0.219,3.5,4.250,0.500,4.313
3x3x2x2,3,3,2,3.52,1.5,0.219,3.5,5.000,0.875,4.625
4x4x2x2,4,4,2,4.52,1.75,0.25,4.5,5.063,0.375,5.563
4x4x3x3,4,4,3,4.52,1.75,0.25,4.5,6.625,1.063,6.000
