,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters
10,10,90,14
15,15,95,14
20,20,105,16
25,25,115,16
32,32,140,18
40,40,150,18
50,50,165,20
65,65,185,22
80,80,200,24
100,100,235,24
125,125,270,26
150,150,300,28
200,200,360,30
250,250,425,32
300,300,485,34
