,ND##length##millimeters,NOD##length##millimeters,WThk##length##millimeters,SWid##length##millimeters,EtER##length##millimeters,CtEB##length##millimeters
32,32,40,2,25,112,76
40,40,50,2,25,128,89
65,65,75,2.3,40,192,134
100,100,110,3.2,50,265,188
150,150,160,4,58,350,254
