,ND##length##millimeters,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches,CtSBB##length##inches,SBtSBR##length##inches
1.25,32,1.675,0.687,0.156,1.66,3.4375,3.0625
1.5,40,1.915,0.687,0.156,1.9,3.9375,3.5
2,50,2.39,0.75,0.156,2.375,5.125,4.4375
3,80,3.52,1.5,0.219,3.5,7.5625,6.5
4,100,4.52,1.75,0.25,4.5,10,8.5
6,150,6.647,3,0.281,6.625,15.375,12.875
