,ND##length##millimeters,NOD##length##millimeters,SOD##length##millimeters,SWid##length##millimeters,Hgt##length##millimeters
15,15,20,27,15,24
20,20,25,33.5,17,28
25,25,32,42,19,31
32,32,40,51.5,21,35
40,40,50,63.5,24,40
50,50,63,79,28,47
