,ND##length##millimeters,NOD##length##millimeters,EWid##length##millimeters,CtE##length##millimeters
50,50,63,62,105
65,65,75,70,122
80,80,90,78,140
100,100,110,80,155
150,150,160,95,197.5
200,200,200,110,234
250,250,250,127,277
300,300,315,80,253
