,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,RFT##length##millimeters
40,40,150,19,84,3
50,50,165,19,99,3
65,65,185,19,118,3
80,80,200,19,132,3
100,100,220,19,156,3
125,125,250,19,184,3
150,150,285,19,211,3
200,200,340,20,266,3
250,250,395,22,319,3
300,300,445,24.5,370,4
350,350,505,24.5,429,4
400,400,565,24.5,480,4
450,450,615,25.5,530,4
500,500,670,26.5,582,4
600,600,780,30,682,5
700,700,895,32.5,794,5
800,800,1015,35,901,5
900,900,1115,37.5,1001,5
1000,1000,1230,40,1112,5
1200,1200,1455,45,1328,5
1400,1400,1675,46,1530,5
1600,1600,1915,49,1750,5
1800,1800,2115,52,1950,5
2000,2000,2325,55,2150,5
