,ND##length##millimeters,NOD##length##millimeters,SOD##length##millimeters,SWid##length##millimeters,Lgt##length##millimeters
15,15,20,27,15,35
20,20,25,33.5,17,39
25,25,32,42,19,43
32,32,40,51.5,21,47
40,40,50,63.5,24,53
50,50,63,79,28,61
