,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,RFT##length##millimeters
10,10,90,16,41,2
15,15,95,16,46,2
20,20,105,18,56,2
25,25,115,18,65,3
32,32,140,20,76,3
40,40,150,20,84,3
50,50,165,22,99,3
65,65,185,24,118,3
80,80,200,26,132,3
100,100,235,28,156,3
125,125,270,30,184,3
150,150,300,34,211,3
200,200,360,34,274,3
250,250,425,36,330,3
300,300,485,40,389,4
350,350,555,44,448,4
400,400,620,48,503,4
450,450,670,50,548,4
500,500,730,52,609,4
600,600,845,56,720,5
