,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,RFT##length##millimeters
10,10,75,12,33,2
15,15,80,12,38,2
20,20,90,14,48,2
25,25,100,14,58,2
32,32,120,16,69,3
40,40,130,16,78,3
50,50,140,16,88,3
65,65,160,16,108,3
80,80,190,18,124,3
100,100,210,18,144,3
125,125,240,20,174,3
150,150,265,20,199,3
200,200,320,22,254,3
250,250,375,24,309,3
300,300,440,24,363,4
350,350,490,26,413,4
400,400,540,28,463,4
450,450,595,28,518,4
500,500,645,30,568,4
600,600,755,30,667,5
700,700,860,32,772,5
800,800,975,34,878,5
900,900,1075,36,978,5
1000,1000,1175,36,1078,5
1200,1200,1405,40,1295,5
1400,1400,1630,44,1510,5
1600,1600,1830,48,1710,5
1800,1800,2045,50,1918,5
2000,2000,2265,54,2125,5
2200,2200,2475,60,2335,6
2400,2400,2685,62,2545,6
2600,2600,2905,64,2750,6
2800,2800,3115,68,2960,6
3000,3000,3315,70,3160,6
3200,3200,3525,76,3370,6
3400,3400,3735,80,3580,6
3600,3600,3970,84,3790,6
