,ND##length##millimeters,Ang##angle##degrees,NOD##length##millimeters,EWid##length##millimeters,CtE##length##millimeters
80,80,90,90,78,140
100,100,90,110,80,155
150,150,90,160,95,197.5
200,200,90,200,110,234
250,250,90,250,127,277
80,80,45,90,78,113
100,100,45,110,80,122
150,150,45,160,95,149
200,200,45,200,103,173
