,ND1##length##millimeters,ND2##length##millimeters,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches,SBtSBR##length##inches,CtSBR##length##inches,CtSBB##length##inches
1.5,40,40,1.915,0.687,0.156,1.9,3.953,3.422,3.328
2,50,50,2.39,0.75,0.156,2.375,5.516,4.844,5.266
3,80,80,3.52,1.5,0.219,3.5,7.516,6.313,6.203
4,100,100,4.52,1.75,0.25,4.5,8.25,8.688,8.266
2x2x1.5x1.5,50,40,2.39,0.75,0.156,2.375,4.266,3.953,4.203
3x3x2x2,80,50,3.52,1.5,0.219,3.5,5.203,5.125,6.063
4x4x2x2,100,50,4.52,1.75,0.25,4.5,5.125,5.969,7.078
4x4x3x3,100,80,4.52,1.75,0.25,4.5,6.688,7.203,7.422
6x6x4x4,150,100,6.647,3,0.281,6.625,10.141,11.5,12.125
