,ND##length##millimeters,FOD##length##millimeters,MThk##length##millimeters,TLgt##length##millimeters,CtE##length##millimeters
15,15,21.3,2.75,13,27
20,20,26.8,2.75,15,32
25,25,33.5,3.25,17,38
32,32,42.3,3.25,20,46
40,40,48,3.5,20,48
50,50,60,3.5,24,57
65,65,75.5,3.75,26,69
80,80,88.5,4,28,78
100,100,114,4,33,97
125,125,140,4,35,113
150,150,165,4.5,37,132
