,ND1##length##inches,ND2##length##inches,ND3##length##inches,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters,CtE1##length##millimeters,CtE2##length##millimeters,CtE3##length##millimeters
0.25x0.25x0.125,0.25,0.25,0.125,5.5,13.7,2.41,21.4,18.8,18.8,19.3
0.125x0.125x0.25,0.125,0.125,0.25,5.1,10.3,2.29,17.6,19.3,19.3,18.8
0.375x0.375x0.25,0.375,0.375,0.25,5.8,17.1,2.54,25.8,22.4,22.4,22.9
0.375x0.375x0.125,0.375,0.375,0.125,5.8,17.1,2.54,25.8,20.6,20.6,21.6
0.375x0.25x0.375,0.375,0.25,0.375,5.8,17.1,2.54,25.8,24.1,22.9,24.1
0.375x0.25x0.25,0.375,0.25,0.25,5.8,17.1,2.54,25.8,22.4,20.6,22.9
0.25x0.25x0.375,0.25,0.25,0.375,5.5,13.7,2.41,21.4,22.9,22.9,22.4
0.5x0.5x0.375,0.5,0.5,0.375,6.3,21.3,2.67,30.4,26.4,26.4,26.2
0.5x0.5x0.25,0.5,0.5,0.25,6.3,21.3,2.67,30.4,24.6,24.6,24.9
0.5x0.375x0.5,0.5,0.375,0.5,6.3,21.3,2.67,30.4,28.5,26.2,28.5
0.5x0.375x0.375,0.5,0.375,0.375,6.3,21.3,2.67,30.4,26.4,24.1,26.2
0.5x0.25x0.5,0.5,0.25,0.5,6.3,21.3,2.67,30.4,28.5,24.9,28.5
0.375x0.375x0.5,0.375,0.375,0.5,5.8,17.1,2.54,25.8,26.2,26.2,26.4
0.75x0.75x0.5,0.75,0.75,0.5,6.9,26.7,3.05,37,30.5,30.5,31
0.75x0.75x0.375,0.75,0.75,0.375,6.9,26.7,3.05,37,28.5,28.5,28.7
0.75x0.75x0.25,0.75,0.75,0.25,6.9,26.7,3.05,37,26.7,26.7,27.4
0.75x0.5x0.75,0.75,0.5,0.75,6.9,26.7,3.05,37,33.3,30,33.3
0.75x0.5x0.5,0.75,0.5,0.5,6.9,26.7,3.05,37,30.5,28.5,31
0.75x0.5x0.375,0.75,0.5,0.375,6.9,26.7,3.05,37,28.5,26.4,28.7
0.75x0.375x0.75,0.75,0.375,0.75,6.9,26.7,3.05,37,33.3,28.7,33.3
0.75x0.375x0.375,0.75,0.375,0.375,6.9,26.7,3.05,37,28.5,24.1,28.7
0.75x0.25x0.75,0.75,0.25,0.75,6.9,26.7,3.05,37,33.3,27.4,33.3
0.5x0.5x0.75,0.5,0.5,0.75,6.3,21.3,2.67,30.4,31,31,30.5
1x1x0.75,1,1,0.75,7.7,33.4,3.4,45,34.8,34.8,36.8
1x1x0.5,1,1,0.5,7.7,33.4,3.4,45,32,32,35.5
1x1x0.375,1,1,0.375,7.7,33.4,3.4,45,30,30,32.3
1x1x0.25,1,1,0.25,7.7,33.4,3.4,45,28.2,28.2,31
1x0.75x1,1,0.75,1,7.7,33.4,3.4,45,38.1,36.8,38.1
1x0.75x0.75,1,0.75,0.75,7.7,33.4,3.4,45,34.8,33.3,36.8
1x0.75x0.5,1,0.75,0.5,7.7,33.4,3.4,45,32,30.5,35.5
1x0.5x1,1,0.5,1,7.7,33.4,3.4,45,38.1,35.5,38.1
1x0.5x0.75,1,0.5,0.75,7.7,33.4,3.4,45,34.8,31,36.8
1x0.5x0.5,1,0.5,0.5,7.7,33.4,3.4,45,32,38.5,35.5
0.75x0.75x1,0.75,0.75,1,6.9,26.7,3.05,37,36.8,36.8,34.8
0.5x0.5x1,0.5,0.5,1,6.3,21.3,2.67,30.4,34.6,34.6,32
1.25x1.25x1,1.25,1.25,1,8.7,42.2,3.68,54.7,40.1,40.1,42.4
1.25x1.25x0.75,1.25,1.25,0.75,8.7,42.2,3.68,54.7,36.8,36.8,41.2
1.25x1.25x0.5,1.25,1.25,0.5,8.7,42.2,3.68,54.7,34,34,38.9
1.25x1.25x0.375,1.25,1.25,0.375,8.7,42.2,3.68,54.7,32,32,36.6
1.25x1x1.25,1.25,1,1.25,8.7,42.2,3.68,54.7,44.5,42.4,44.5
1.25x1x1,1.25,1,1,8.7,42.2,3.68,54.7,40.1,38.1,42.4
1.25x1x0.75,1.25,1,0.75,8.7,42.2,3.68,54.7,36.8,34.8,41.2
1.25x1x0.5,1.25,1,0.5,8.7,42.2,3.68,54.7,34,32,38.9
1.25x0.75x1.25,1.25,0.75,1.25,8.7,42.2,3.68,54.7,44.5,41.2,44.5
1.25x0.75x1,1.25,0.75,1,8.7,42.2,3.68,54.7,40.1,36.8,42.4
1.25x0.75x0.75,1.25,0.75,0.75,8.7,42.2,3.68,54.7,36.8,33.3,41.2
1.25x0.5x1.25,1.25,0.5,1.25,8.7,42.2,3.68,54.7,44.5,38.9,44.5
1.25x0.5x1,1.25,0.5,1,8.7,42.2,3.68,54.7,40.1,34.5,42.4
1x1x1.25,1,1,1.25,7.7,33.4,3.4,45,42.4,42.4,40.1
0.75x0.75x1.25,0.75,0.75,1.25,6.9,26.7,3.05,37,41.2,41.2,36.8
1.5x1.5x1.25,1.5,1.5,1.25,9.3,48.3,3.94,61.6,46.2,46.2,47.8
1.5x1.5x1,1.5,1.5,1,9.3,48.3,3.94,61.6,41.9,41.9,45.7
1.5x1.5x0.75,1.5,1.5,0.75,9.3,48.3,3.94,61.6,38.6,38.6,44.5
1.5x1.5x0.5,1.5,1.5,0.5,9.3,48.3,3.94,61.6,35.8,35.8,42.2
1.5x1.25x1.5,1.5,1.25,1.5,9.3,48.3,3.94,61.6,49.3,47.8,49.3
1.5x1.25x1.25,1.5,1.25,1.25,9.3,48.3,3.94,61.6,46.2,44.5,47.8
1.5x1.25x1,1.5,1.25,1,9.3,48.3,3.94,61.6,41.9,40.1,45.7
1.5x1.25x0.75,1.5,1.25,0.75,9.3,48.3,3.94,61.6,38.6,36.3,44.5
1.5x1.25x0.5,1.5,1.25,0.5,9.3,48.3,3.94,61.6,35.8,34,42.2
1.5x1x1.5,1.5,1,1.5,9.3,48.3,3.94,61.6,49.3,45.7,49.3
1.5x1x1.25,1.5,1,1.25,9.3,48.3,3.94,61.6,46.2,42.4,47.8
