,ND##length##millimeters,CtE##length##inches,SOD##length##inches
0.5,15,1.281,1.094
0.75,20,1.656,1.344
1,25,1.938,1.625
1.25,32,2.250,2.000
1.5,40,2.438,2.250
2,50,2.750,2.750
