,ND##length##millimeters,FOD##length##inches
0.125,6,0.25
0.25,8,0.375
0.375,10,0.5
0.5,15,0.625
0.75,20,0.875
1,25,1.125
1.25,32,1.375
1.5,40,1.625
2,50,2.125
2.5,65,2.625
3,80,3.125
3.5,90,3.625
4,100,4.125
5,125,5.125
6,150,6.125
8,200,8.125
10,250,10.125
12,300,12.125
14,350,14.125
16,400,16.125
18,450,18.125
20,500,20.125
24,600,24.125
30,750,30.125
36,900,36.125
42,1050,42.125
48,1200,48.125
54,1350,54.125
60,1500,60.125
72,1800,72.125
