,ND##length##millimeters,NOD##length##millimeters,Hgt##length##millimeters
25,25,32,62
32,32,40,70
40,40,50,78
50,50,63,88
65,65,75,90
80,80,90,100
100,100,110,120
110,110,125,80
150,150,160,150
175,175,180,100
200,200,200,190
225,225,225,110
250,250,250,230
300,300,315,290
350,350,355,160
400,400,400,330
450,450,450,350
500,500,500,180
550,550,560,190
600,600,630,200
700,700,710,220
800,800,800,240
900,900,900,260
1000,1000,1000,280
