,ND1##length##millimeters,ND2##length##millimeters,ND3##length##millimeters,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches,SBtSBR##length##inches,CtSBR##length##inches,CtSBB##length##inches
1.5,40,-1,-1,1.915,0.687,0.156,1.9,-1,-1,-1
2x2x1.5x1.5,50,50,40,2.39,0.75,0.156,2.375,4.375,1.063,3.438
3x3x1.5x1.5,80,80,40,3.52,1.5,0.219,3.5,4.25,0.5,4.313
3x3x2x2,80,80,50,3.52,1.5,0.219,3.5,5,0.875,4.625
4x4x2x2,100,100,50,4.52,1.75,0.25,4.5,5.063,0.375,5.563
4x4x3x3,100,100,80,4.52,1.75,0.25,4.5,6.625,1.063,6
