,ND##length##millimeters,FOD1##length##inches,FOD2##length##inches,Lgt##length##inches
0.125,6,1,0.625,0.75
0.25,8,1,0.625,0.75
0.375,10,1.25,0.75,0.8125
0.5,15,1.40625,0.9375,1
0.75,20,1.71875,1.15625,1.0625
1,25,2,1.4375,1.3125
1.25,32,2.5625,1.75,1.3125
1.5,40,2.84375,2,1.375
2,50,3.46875,2.5625,1.5
2.5,65,4.0625,3,1.8125
3,80,4.8125,3.6875,2
3.5,90,5.21875,4,2.125
4,100,5.96875,4.75,2.25
5,125,7.3125,5.5625,2.625
6,150,8.625,6.6875,2.75
