,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,RFT##length##millimeters
10,10,75,12,33,2
15,15,80,12,38,2
20,20,90,14,48,2
25,25,100,14,58,2
32,32,120,16,69,2
40,40,130,16,78,2
50,50,140,16,88,2
65,65,160,16,108,2
80,80,190,18,124,2
100,100,210,18,144,2
125,125,240,18,174,2
150,150,265,20,199,2
200,200,320,22,254,2
250,250,375,24,309,2
300,300,440,24,363,2
350,350,490,24,413,2
400,400,540,24,463,2
450,450,595,24,518,2
500,500,645,26,568,2
600,600,755,30,667,2
700,700,860,26,772,5
800,800,975,26,878,5
900,900,1075,26,978,5
1000,1000,1175,26,1078,5
1200,1200,1405,28,1295,5
1400,1400,1630,32,1510,5
1600,1600,1830,34,1710,5
1800,1800,2045,36,1918,5
2000,2000,2265,38,2125,5
