,ND##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters,Lgt##length##millimeters
0.25,8,9.7,13.7,3.6,23.6,35.1
0.375,10,11.2,17.1,3.8,28.5,41.4
0.5,15,12.7,21.3,4.1,34,47.8
0.75,20,14.2,26.7,4.6,41.4,54.1
1,25,15.8,33.4,5.1,49.5,60.5
1.25,32,17.5,42.2,5.6,60.7,73.2
1.5,40,19.1,48.3,6.1,68.1,73.2
2,50,21.3,60.3,6.6,83.3,92.2
2.5,65,23.9,73,7.9,98,104.9
3,80,25.4,88.9,8.9,117.3,104.9
