,ND##length##inches,FOD##length##millimeters,FThk##length##millimeters,HDia##length##millimeters,LTH##length##millimeters,RFD##length##millimeters
0.5,0.5,120,22.3,38,32,34.9
0.75,0.75,130,25.4,44,35,42.9
1,1,150,28.6,52,41,50.8
1.25,1.25,160,28.6,64,41,63.5
1.5,1.5,180,31.8,70,44,73
2,2,215,38.1,105,57,92.1
2.5,2.5,245,41.3,124,64,104.8
3,3,240,38.1,127,54,127
4,4,290,44.5,159,70,157.2
5,5,350,50.8,190,79,185.7
6,6,380,55.6,235,86,215.9
8,8,470,63.5,298,102,269.9
10,10,545,69.9,368,108,323.8
12,12,610,79.4,419,117,381
14,14,640,85.8,451,130,412.8
16,16,705,88.9,508,133,469.9
18,18,785,101.6,565,152,533.4
20,20,855,108,622,159,584.2
24,24,1040,139.7,749,203,692.2
